"name";"operator_type";"concession"
"Agropecuária Vitória Régia SA";"Company";"671/2009 Logging Authorisation (AUTEF)"
"Vitória Régia Exportadora (managed by Bortolanza)";"Company";"633/2009 Logging Authorisation (AUTEF)"
"Vitória Régia Exportadora (managed by Bortolanza)";"Company";"633/2009 Logging Authorisation (AUTEF)"
"Vitória Régia Exportadora (managed by Bortolanza)";"Company";"633/2009 Logging Authorisation (AUTEF)"
"Try Pheap Group";"Company";"Multiple ELCs"
"Try Pheap Group";"Company";"Not specified"
"Try Pheap Group";"Company";"Not specified"
"Try Pheap Group";"Company";"Not specified"
"Try Pheap Group";"Company";"Not specified"
"Try Pheap Group";"Company";"Not specified"
"Try Pheap Group";"Company";"Stung Atay hydropower dam reservoir and three ELCs in Phnom Samkos Wildlife Sanctuary"
"Try Pheap Group";"Company";"Stung Atay hydropower dam reservoir and three ELCs in Phnom Samkos Wildlife Sanctuary"
"CAMEROON LONG YUAN";"Company";"Sombo"
"CAMEROON LONG YUAN";"Company";"Sombo"
"ETAMFA";"Company";"AEB 07 03 087"
"Monsieur Francis ABESSOLO MINTOUNOU";"Artisanal";"Not specified"
"Monsieur Marc NEMI BINGAN";"Artisanal";"Not specified"
"Monsieur Nyeck";"Artisanal";"Not specified"
"SABM";"Company";"UFA 08 002"
"SABM";"Company";"UFA 08 002"
"SFSC";"Company";"Oboul"
"SG SOC";"Company";"UFA 11 006"
"SG SOC";"Company";"UFA 11 007"
"SG SOC";"Company";"UFA 11 007"
"SG SOC";"Company";"UFA 11 007"
"Société Cana Bois";"Company";"UFA 08 007"
"BODUCAM";"Company";"VC 0903341"
"BODUCAM";"Company";"VC 0903342"
"BODUCAM";"Company";"VC 0903343"
"GIC MPDB";"Company";"Forêt communautaire"
"GIC MPDB";"Company";"Forêt communautaire"
"Grandes Scieries d'Edéa";"Sawmill";"Convention de Vente aux Enchères Publics de Bois)"
"Grandes Scieries d'Edéa";"Sawmill";"Convention de Vente aux Enchères Publics de Bois)"
"Grandes Scieries d'Edéa";"Sawmill";"Convention de Vente aux Enchères Publics de Bois)"
"SCIFO";"Company";"UFA 10032"
"COFA";"Company";"Not specified"
"ECIC";"Company";"Not specified"
"SFIM";"Company";"Not specified"
"SBAC";"Company";"UFA 10 050"
"Abong Mbang & Fils";"Artisanal";"Forêt communautaire de Kassarafam"
"Abong Mbang & Fils";"Artisanal";"Forêt communautaire de Kassarafam"
"Abong Mbang & Fils";"Artisanal";"Forêt communautaire de Kassarafam"
"AFRIGRUM";"Company";"VC 08 06 156"
"AFRIGRUM";"Company";"VC 08 06 156"
"AFRIGRUM";"Company";"VC 08 06 156"
"AFRIGRUM";"Company";"VC 08 06 156"
"Amougou Amougou Jules (AAJ)";"Artisanal";"AEB 0056"
"Amougou Amougou Jules (AAJ)";"Artisanal";"AEB 0056"
"Biloa Atsama";"Artisanal";"AEB 1356"
"BUBINGA (en partenariat avec South & Fils)";"Artisanal";"UFA 09 023 AAC 2-3"
"BUBINGA (en partenariat avec South & Fils)";"Artisanal";"UFA 09 023 AAC 2-3"
